gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AASDH,184.31677824335623,0.20729918110800727,0.09207555772322237,2.2514029372609965,0.02436002827084606,0.3761543970732053
AASDHPPT,394.0022182673043,0.14276257312301047,0.08025151437079057,1.7789393040409995,0.07524971342145456,0.5004711105392005
AASS,50.38615976185924,0.5916222156588395,0.2459166152501983,2.4057838265906373,0.016137810803724978,0.3382836814868364
AATBC,437.28327434197485,0.02751160246025307,0.17285688622702086,0.1591582670540578,0.8735441827432475,0.9669792011506033
AATF,1017.0815428398249,-0.15055178035183983,0.07297824647030271,-2.0629679066501603,0.039115677460831146,0.4260385288015496
AATK,2826.6277342863063,-0.2370828375714599,0.18712399451613695,-1.2669825597968125,0.20516152598053294,0.6569739485780984
ABALON,5.945290203823365,-0.15623559110698074,0.6016604426607759,-0.25967402878614776,0.7951152275995913,0.9451973985947497
ABAT,563.9281703760645,-0.05019104890318735,0.17069122173203638,-0.294045870630541,0.7687228522028887,0.938902187069873
ABCA1,787.975839177099,-0.1677633913891512,0.22883455740273587,-0.733120876904519,0.46348470803681424,0.822476370674547
ABCA10,16.88036357488679,0.19963572954603886,0.2612007479666247,0.7642999918650601,0.4446884902369065,0.8118166335527898
ABCA11P,16.126270873500076,0.3280175733868644,0.26929917247259466,1.2180415200505126,0.22320819504084133,0.6717518147190997
ABCA13,24.39855023349275,0.09145092928077597,0.35939437643378874,0.2544584313984779,0.7991414142974909,0.9466263064132358
ABCA17P,7.953226629980757,0.6846553305440631,0.3178115213165464,2.1542810270309025,0.03121813985349012,0.40503535297092313
ABCA2,3014.541514054717,0.01643325152391335,0.1584338447944012,0.10372311260412001,0.91738908437736,0.9786538338310241
ABCA3,163.54107859052127,0.03599310214448241,0.16373426348309755,0.21982632943652636,0.8260064132272519,0.9553042237480984
ABCA5,419.91618828108705,0.39538833001605495,0.1621596343298504,2.438266043519757,0.014757908185311938,0.3308640471575964
ABCA6,8.73823924227215,0.013577240935117288,0.3903458804107581,0.03478259056001836,0.972253102951841,0.9936002435021543
ABCA7,7429.1656241478695,0.043656541427245926,0.19454401282258005,0.2244044460368963,0.8224426114666621,0.9542644745231272
ABCA9,5.28842286361957,0.9223565702578072,0.40467571778231853,2.2792486174175575,0.02265229054415632,0.3672662608839635
ABCB1,167.23333239253424,0.38954506763606006,0.20596418034661618,1.8913243408659528,0.058581061377849894,0.4657010821367083
ABCB10,271.38155898943705,0.30309321675106715,0.11401989027369044,2.658248626827564,0.007854792252833677,0.2855148286137032
ABCB4,46.41411997938177,-0.42579860147479637,0.30772473036970793,-1.3836996492392133,0.16645044102266413,0.619163476267881
