gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NM_172765,2190.6319825020923,0.17728549154518586,0.09877863255307472,1.7947757218640241,0.07268944043269555,0.16551236929567417
NM_172739,462.0359199294525,-0.22130383508155552,0.12298891500631152,-1.7993803349692017,0.07195853811261099,0.16434797190857325
NM_172586,1036.15315779533,0.254854715889785,0.1123413390600282,2.2685746673680516,0.02329420358542766,0.06750406487496262
NM_172585,5238.530346491524,-0.29470816441034403,0.11216405222772477,-2.6274742982003096,0.008602133994556952,0.030053302080032283
NM_172584,636.2817821427005,0.25228712644686135,0.10232534238664427,2.4655390401096806,0.013680726581605915,0.04376340869504141
NM_013715,1421.87175382178,-0.16273903480182186,0.08445519132898492,-1.9269275486913735,0.053988659721557565,0.13157652347335444
NR_105862,14.674693747256562,-0.5548593697658252,0.5229350785906929,-1.0610482877935212,0.28866795700489556,0.4562576328358425
NM_001122738,1623.5737243839965,-0.057174603571361816,0.11715968029785571,-0.48800580051094794,0.6255457324759254,0.7576748955986538
NM_001114097,1941.058582256901,-0.12787252869556026,0.09781339851830063,-1.307310967951243,0.19110712073398414,0.3414076111458512
NM_001198826,4649.838811671082,0.11416642984517975,0.08021712603939786,1.4232176529125216,0.1546730697505388,0.29259449484655814
NM_001198861,5859.996112895835,-0.26637890735070807,0.07040766947597923,-3.7833791308997626,1.547134729664296e-4,9.888090113553585e-4
NM_001198859,5772.323317667447,-0.26600717402915425,0.06991416663030081,-3.8047678582192623,1.4193724290262707e-4,9.19395417533084e-4
NM_001198860,5859.996112895835,-0.26637890735070807,0.07040766947597923,-3.7833791308997626,1.547134729664296e-4,9.888090113553585e-4
NM_001198841,80.78452844389976,0.8488513488039048,0.2954381437654922,2.873194835253539,0.004063434334578091,0.016220118190480776
NM_176979,7444.923467405908,-0.24294472644768778,0.08539248476405746,-2.845036388377184,0.004440634982621344,0.017417906585842035
NM_177075,94.86002289746064,-0.6875690726772573,0.23561244617664667,-2.918220509292465,0.0035203530458906727,0.014407235622871328
NM_176965,56.48133186248745,-0.21481332844039727,0.28074667492964533,-0.7651500360395334,0.44418220775433054,0.6112785129319169
NM_001033039,64.67489430567004,-0.16088888046774422,0.25578107085151,-0.6290101137356875,0.5293424349947279,0.6844064796433145
NM_026662,1331.890018143418,0.0345687642340883,0.08138271396061432,0.4247678966668287,0.6710058826400778,0.7916644233234826
NM_025983,4128.365328251731,0.09825102524138847,0.07643700745798096,1.2853855548361066,0.19865758648711554,0.35109088629053564
NM_026660,1184.288314462471,-0.5310630202587443,0.10193833875626847,-5.209649546364496,1.891976581857329e-7,2.700637972958874e-6
NM_026236,2155.567913256406,-0.023258830634972884,0.09263621201490069,-0.25107709101092845,0.8017545074253095,0.881852784371594
NM_026656,45.87752954325624,0.28717603796397045,0.31436706944266196,0.9135054714003659,0.36097675730730244,0.5333219719563691
NM_009194,220.10891581585972,-0.6030310404001324,0.2272744007369677,-2.6533170407433637,0.00797049674824575,0.028197401808890906
NM_001290434,96.07393849128903,-0.29395429815247154,0.26203492035033427,-1.1218134505105726,0.26194176605507363,0.42608958438763045
NM_001164735,1067.7983135404431,0.17942439822977166,0.11859843527518493,1.5128732332214312,0.13031186215984,0.25853978245017695
NM_053214,9971.58609757384,0.32644594687419365,0.10527811667931704,3.1007958460025082,0.001930013066174139,0.008693467568403886
NM_001290644,4355.060260782724,0.43935229698978484,0.09852137502583921,4.459461684071663,8.216575989552299e-6,7.63656169987885e-5
NM_025422,685.2452897368125,1.4824062020987887,0.19766501875545053,7.499587997068965,6.401873312381433e-14,4.224652628726848e-12
