"","Pool1","Pool2","Pool3","Pool4","Pool5","Pool6","Pool7","Pool8","Pool9","Pool10","Pool11","Pool12","Pool13","Pool14","Pool15","Pool16"
"ENSMUSG00000102597.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000043760.16",0,0,0,0,0,0,0,2,0,0,2,2,6,0,2,0
"ENSMUSG00000104095.1",0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"ENSMUSG00000089914.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090142.2",11,12,5,6,4,14,5,24,15,1,2,21,24,12,11,13
"ENSMUSG00000099906.2",0,0,0,0,0,0,0,0,0,0,1,2,1,0,4,0
"ENSMUSG00000025929.4",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000041872.9",0,2,2,6,0,2,0,0,3,1,2,3,4,0,2,4
"ENSMUSG00000041859.10",2356,2041,1757,2938,1449,1002,1077,1575,2045,1095,1387,2149,1650,1597,1722,2013
"ENSMUSG00000099714.1",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000102121.1",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"ENSMUSG00000097934.1",0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0
"ENSMUSG00000025931.15",71,64,56,88,42,47,37,66,65,32,45,49,57,48,72,59
"ENSMUSG00000077314.1",3,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1
"ENSMUSG00000100929.1",0,0,0,1,0,2,0,0,0,0,0,2,0,0,1,0
"ENSMUSG00000041809.5",7,4,2,7,4,6,2,3,4,3,1,7,7,3,5,3
"ENSMUSG00000041779.5",392,357,367,540,332,433,336,381,351,177,193,319,301,305,295,312
"ENSMUSG00000099971.1",0,0,1,1,1,0,2,2,1,0,0,1,0,0,2,0
"ENSMUSG00000100819.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025933.15",1,4,0,5,4,2,0,3,3,2,4,2,2,3,5,2
"ENSMUSG00000102633.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025934.15",0,3,3,0,0,5,5,3,0,1,1,0,0,2,1,0
"ENSMUSG00000099343.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096375.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000025936.15",0,0,1,4,1,2,4,0,0,1,0,1,4,1,1,1
"ENSMUSG00000093963.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000067750.3",1,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0
"ENSMUSG00000086194.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000094436.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000041722.7",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000085507.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000094926.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000085079.3",0,1,0,1,0,4,0,1,1,0,1,0,5,0,0,2
"ENSMUSG00000085679.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028033.16",58,42,43,73,39,39,30,57,48,27,27,55,64,64,46,45
"ENSMUSG00000104138.1",2,2,0,1,0,2,0,1,0,0,0,0,2,2,2,1
"ENSMUSG00000082935.3",28,30,16,26,10,21,17,29,13,14,16,26,23,19,11,17
"ENSMUSG00000103748.1",1,1,0,0,0,4,0,3,0,2,1,2,0,2,1,1
"ENSMUSG00000097109.1",3,1,0,2,1,1,1,4,0,0,0,1,2,2,3,10
"ENSMUSG00000099692.1",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"ENSMUSG00000100418.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000041670.16",0,0,0,0,0,0,0,3,0,0,0,3,1,1,3,0
"ENSMUSG00000097642.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000101468.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000101227.1",0,0,0,0,0,1,0,0,0,0,2,1,2,0,2,0
