"Sample_id","M1","M3","M4","M14","M15","M16"
"NM_001163469",896,737,856,727,707,655
"NM_001163468",892,745,865,734,711,660
"NM_027100",115,84,75,168,198,186
"NM_027090",147,122,137,167,150,157
"NM_028725",173,123,153,168,147,171
"NM_028724",903,455,531,1457,1388,1236
"NM_029011",189,152,156,134,100,106
"NM_001286530",196,174,152,195,138,152
"NM_001290655",1890,1597,1925,1644,1509,1431
"NM_148944",0,0,0,0,0,0
"NM_001198998",3882,2981,3495,3564,3481,2917
"NM_001243104",0,0,0,0,0,0
"NM_007385",0,0,0,1,0,0
"NM_007413",266,192,186,454,624,599
"NM_001252058",48,40,45,66,41,48
"NM_001252057",48,40,45,66,41,48
"NM_001101484",3,8,6,8,2,12
"NM_001101478",313,236,248,310,294,281
"NM_001101443",0,0,1,0,0,0
"NM_001114312",134,88,99,264,242,249
"NM_001100610",0,0,0,0,0,0
"NM_001111336",0,0,0,0,0,0
"NM_001145886",3147,3432,3553,3687,3268,3194
"NM_174854",131,67,90,169,151,187
"NM_020510",1,2,0,3,0,0
"NM_001170431",587,420,526,536,541,494
"NM_001170430",592,423,527,538,556,500
"NM_001170419",8,4,5,2,3,1
"NM_001170912",3,2,7,3,2,4
"NM_001104614",0,0,0,0,0,0
"NM_001001186",305,263,305,340,324,330
"NM_001079822",23,23,24,20,18,10
"NM_172849",0,0,0,0,0,0
"NM_016715",1229,910,1034,1010,1179,1034
"NM_001081423",559,499,627,426,304,377
"NM_001122685",872,712,795,616,623,551
"NM_001143790",679,592,664,579,547,555
"NM_001127349",2580,1756,1983,3626,3626,3458
"NM_001145779",1856,1410,1498,1460,1453,1423
"NM_175731",1,8,11,9,6,7
"NM_175130",106,63,79,108,136,148
"NM_175696",9,9,5,11,8,8
"NM_175692",4,4,3,6,0,4
"NM_175688",3,12,5,9,12,8
"NM_183106",1091,958,1068,1142,1069,1090
"NM_177856",71,52,55,59,56,54
"NM_183096",0,0,0,0,0,0
"NM_182996",799,728,810,560,492,435
"NM_054068",0,0,0,0,0,0
"NM_054066",0,0,0,0,0,0
"NM_031396",0,3,1,2,0,1
"NM_031386",15,9,6,20,23,20
"NM_029303",0,0,0,0,0,0
"NM_020558",1832,1380,1601,1610,1567,1387
"NM_023665",8009,7454,8198,7884,7685,7219
"NM_019665",70,41,41,66,69,46
"NM_153093",0,1,0,0,0,0
"NM_010488",0,0,0,0,0,0
"NM_010486",1,0,0,0,0,0
"NM_011259",0,0,0,0,0,0
"NM_011258",4328,3920,4518,3672,3093,2936
"NM_011422",0,0,0,0,0,0
"NM_011121",1864,1604,1845,849,955,959
"NM_011253",0,0,0,0,0,0
"NM_001290759",2973,2879,3318,2292,2107,2117
"NM_027139",2436,2178,2586,2082,1889,1625
"NM_028820",534,538,496,396,362,396
"NM_172126",58,47,76,61,66,58
"NM_172125",0,2,5,3,3,1
"NM_172747",183,159,165,173,161,150
"NM_007405",1774,910,921,647,630,465
"NM_001109041",13,7,8,4,3,6
"NR_030426",0,0,0,0,0,0
"NM_001199204",2775,2388,2912,3021,2802,2852
"NM_007727",2,0,1,1,3,0
"NM_011993",0,0,0,0,0,0
"NM_013503",0,0,0,0,0,0
"NM_011991",2207,2021,2245,1859,1628,1432
"NM_030203",137,104,99,141,116,102
"NM_001029837",6100,4205,4855,5572,5574,5516
"NM_001024145",3,1,2,1,2,0
