CKAP2L
PSMD1
CA3
MTFR1
ARMCX6
FAM117A
HSDL2
TWSG1
ADGRD1
PPA1
CEP164
NEURL1
ING5
URB2
PREP
RRS1
MCU
ZNHIT3
TSPAN6
LRRC36
NFIA
HUWE1
DLG3
C22orf39
TRIM27
AKAP1
OLFM4
ALG10
NT5C3A
KATNAL1
PRX
MRPL38
ESCO2
ABHD10
PRTN3
MEGF9
DMXL2
BCAP29
TAF9
EHHADH
EXOSC2
CENPJ
AURKA
ATF4
UPF3B
CMSS1
CACNA1H
KIFC1
TCP1
MRPL51
TTC27
AMOT
CCND2
GPATCH4
PBX1
MDN1
CDC42BPG
DNAJA3
TSPAN2
STK16
YOD1
FUT8
GOLGA8B
SP4
HAGH
RNF144A
UTP20
BCL2L13
NDUFS1
ILF2
LDLRAP1
PIK3CB
EIF4G1
PHGDH
TTC3
KDM8
PRUNE2
KLF11
SELENBP1
MYH9
MRPS5
SHROOM4
MED12L
TGFBR3
MCM3AP
SLF1
COG7
KIF11
TRIM58
GCN1
CCNA2
SERPINE2
ZNF239
EXO1
NUP85
TRIM59
CAPN5
ACAD11
ORC6
HERC1
TEX9
UBTF
AFF1
SLCO4C1
TEX2
THUMPD2
ERMP1
SLC16A1
COX18
PDK3
IGF1R
SNRPA1
C8orf88
TRPC6
DNAJB2
PDZD8
SIGLEC6
TARBP1
WRN
HEBP1
POLI
FER
FAM210B
ZDHHC6
PDZD2
MMS22L
ENPP5
RASA2
WDR5
GCSAM
TLCD2
ILF3
TM7SF3
ABCC4
GADD45A
ZWINT
PPP2R1B
GYPA
RAD23A
STRADB
ABCC1
POP1
ASF1A
GATM
EIF1AX
SERBP1
PIK3IP1
MICALL2
CEP85
DCAF1
SOX6
TCEAL8
C5orf22
RAPGEF6
RSAD1
DHFR
SPTB
HELQ
IQCB1
RRM1
CEP68
ABCE1
BLVRB
DPY19L3
SERINC5
NPAT
TTF2
HSPA9
LMTK2
MMP14
RPRD1B
SKA2
NUP133
EIF4A1
CENPP
GSE1
TBRG1
DKC1
FAM216A
HECTD4
SPAG5
MYH10
CELA1
NEIL3
RHD
TOP2A
RPA3
BACE1
RANBP10
GEMIN5
EPM2A
CDC20
KIF4A
MOSPD1
INHBA
GGACT
PWP1
HK1
SFMBT1
SNRPD2
GFI1
ASPM
CEMIP2
DPH5
TNFRSF10D
MED12
NOL6
CIT
SND1
ADD2
TNRC6B
ELP1
CNOT7
CENPL
CKAP5
TRAPPC10
UCHL5
DNAAF5
KLF1
EEF1E1
ZNF609
ASAH2B
MIOS
PKN2
CCDC6
TFR2
RIPOR3
HEATR1
RPIA
CNNM2
ORC2
ESPL1
L2HGDH
HCFC2
SORBS1
CEP76
CIPC
GOLGA8A
HJURP
MTX2
ARHGAP21
ORM1
RPGRIP1L
CPOX
MRRF
NAP1L4
FLNB
CCT8
PARPBP
GCLC
ANKRD28
LRRC58
NARS2
SORCS2
LANCL2
B4GALT6
DLAT
NUP205
BICD1
EPB42
PCNT
PIGP
JADE1
RHBDD1
PSIP1
RFC4
BAZ1B
SLC7A5
PAQR9
CFD
ERC1
RCC1
CTSG
PPOX
ZDHHC14
COPS5
TTC39A
FBXO9
LARP1
POMT2
SVIP
SLC4A1
CENPE
GRB10
FANCI
STX2
CCDC62
CEP295
VANGL1
EIF2D
SYNE1
ENTPD5
GYPB
NDC1
HIBCH
PGBD1
CEP41
SYNE2
ANAPC1
RHCE
CCNB1
CCDC18
CDCA2
LCN2
SPTBN1
CEP152
RGS1
IFT80
DAB2IP
NINL
GBE1
DZIP3
SLC1A5
SEC14L2
KEL
SLC35G1
ALS2
MTBP
TRAK2
PNP
SPATA13
ANK1
DNAJC9
DDIAS
ZHX3
IARS2
MPO
HAUS4
SUZ12
NQO1
GCFC2
FBXO30
IRS2
NUP50
NOMO2
ACKR1
RRN3
PI4K2B
FGFRL1
ADGRA3
MTOR
METAP1
PRNP
HSPE1
CAMP
MKI67
CHAC2
XK
ANP32B
ETS1
OCRL
TMEM273
ZNF770
YPEL4
MPHOSPH10
NUP155
POLR3E
RPAP3
ALAD
SLC11A2
MTR
DNMT3B
AMMECR1
RETREG1
EXPH5
TNS1
FAM110C
GABPB1
UBR1
GOLIM4
TAF9B
NET1
CDK1
SLC14A1
LRBA
RABGGTB
CDC7
PTPN13
LY75
LMAN1
F2R
ICE2
NOCT
JADE3
NCL
GPATCH8
SNORA33
BTG3
DCAF6
AKAP11
MYB
NIPA1
PPM1L
MSH6
MRPL13
ARAP2
SH3YL1
COQ5
HIPK2
ARMCX5-GPRASP2
DOCK9
ELP4
MACF1
FAM120C
BRD8
HMBS
WDR43
IPCEF1
TRIM2
EPB41
RALGAPA1
PM20D2
IDE
DENND4A
PREPL
TMX1
SMG8
PRKDC
POLA1
TOMM70
LCLAT1
ARHGAP23
IMMP1L
MTX3
IPPK
TRIM10
RGCC
FRYL
DNAJC6
ARFGEF2
USP14
NADK2
ARL4A
RECK
SCML2
CENPW
UBXN8
ASB7
HEMGN
PHEX
CAPRIN2
USP7
MYO6
RTKN2
EXOSC9
RHAG
DGKH
RFESD
TFDP2
WBP1
C1orf131
USP24
SRSF8
SUPT16H
GNL3
VPS13A
PIGN
PIGA
ALG10B
SOX4
CENPF
RTEL1
AQR
CDK6
DDX39B
KLHDC2
DHFR2
HAT1
NPM1
SLC22A23
MGAM
HP1BP3
BTAF1
TASP1
SRSF2
SLC39A8
ZRANB3
SYCP2
FNBP1L
MTF2
NCKAP1
SCOC
ANK3
MS4A3
HELLS
LTF
JAG1
MFSD9
CAMSAP2
OTUD4
NUDCD1
ISCA1
NCBP1
TET1
MLLT3
LNPK
LRRC40
PTPN11
ELANE
BTRC
RYK
BAG2
DAAM1
HNRNPU
CFAP298
CDK5R1
HSP90AA1
FBN2
SMYD2
ANXA1
UBQLN1
FBXO5
MFN1
C12orf29
TSPO2
EIF2AK4
ACSL6
STXBP4
ATP8A1
ATL2
SELENOI
METAP2
ZNF507
B3GLCT
CLDN12
HACE1
MAP4K5
ALG6
NUDCD2
MRPS28
ACP1
WDR12
C17orf99
WDR7
BORA
CCT6A
CTSE
TOPBP1
ARID2
CD34
MFN2
ATAD5
SRSF1
MED23
SMARCA5
ABCB10
HDAC2
CEP70
LARP1B
XPOT
STT3B
MPP7
WDR75
AGPS
SLC12A2
NEK1
GNPAT
SON
UBR5
KIT
NAP1L3
MGAT4A
GPSM2
JMY
PXYLP1
MIER3
KBTBD6
ERFE
SRSF6
HACD2
LRPPRC
MDM1
RAB3GAP2
FAM98B
DDX1
WWC2
RANBP2
CCDC138
DHX29
PIK3R1
WAPL
VWA8
